start,end,col.name
7,7,VERSION
10,10,OE_TABFLG
11,14,DOD_YY
15,16,DOD_MM
21,24,DOD_TT
25,25,DOD_WK
26,27,OSTATE
30,32,OCNTYFIPS
33,33,OCNTYPOP
34,34,BFACIL
52,52,BFACIL3
84,84,MAGE_IMPFLG
85,85,MAGE_REPFLG
86,87,MAGER
88,89,MAGER14
90,90,MAGER9
91,92,MBCNTRY
97,97,MBSTATE_REC
102,103,MRSTATEPSTL
104,106,MRCNTYFIPS
112,112,RCNTY_POP
130,130,RECTYPE
131,131,RESTATUS
132,133,MRACE31
134,134,MRACE6
135,136,MRACE15
138,138,MRACEIMP
142,142,UMHISP
143,143,MHISPX
144,144,SR_MRACEHISP
145,145,MEDUC
172,172,FAGERPT_FLG
177,178,FAGECOMB
179,180,FAGEREC11
181,182,PRIORLIVE
183,184,PRIORDEAD
187,187,LBO_REC
197,199,ILLB_R
200,201,ILLB_R11
202,203,PRECARE
204,204,PRECARE_REC
229,229,WIC
230,231,CIG_0
232,233,CIG_1
234,235,CIG_2
236,237,CIG_3
238,238,CIG_REC
243,244,M_Ht_In
245,248,BMI
249,249,BMI_R
253,255,PWgt_R
257,257,RF_DIAB
258,258,RF_GEST
259,259,RF_PHYP
260,260,RF_GHYP
261,261,RF_ECLAM
262,262,RF_INFTR
263,263,RF_FEDRG
264,264,RF_ARTEC
265,265,RF_CESAR
266,267,RF_CESARN
274,274,ME_PRES
275,275,ME_ROUT
276,276,ME_TRIAL
277,277,RDMETH_REC
280,280,DMETH_REC
281,281,MM_RUPT
282,282,MM_ICU
283,283,ATTEND
301,301,DPLURAL
302,302,IMP_PLUR
316,316,SEX
317,317,IMP_SEX
318,319,DLMP_MM
322,325,DLMP_YY
329,329,GEST_IMP
330,330,OBGEST_FLG
331,332,COMBGEST
333,334,GESTREC12
335,335,GESTREC5
336,337,OEGest_Unedt
339,339,COMBGEST_USED
340,341,OEGest_Comb
342,343,OEGest_R12
344,344,OEGest_R5
349,352,DBWT
353,354,BWTR14
355,355,BWTR4
357,357,ESTOFD
358,358,AUTOPSY
359,359,HISTOPF
360,360,AUTOPF
372,372,F_MEDUC
373,373,F_CLINEST
374,374,F_TOBACO
375,375,F_M_HT
376,376,F_PWGT
377,377,F_WIC
378,378,F_RF_PDIAB
379,379,F_RF_GDIAB
380,380,F_RF_PHYPER
381,381,F_RF_GHYPER
382,382,F_RF_ECLAMP
383,383,F_RF_INFT
384,384,F_RF_INFT_DRG
385,385,F_RF_INFT_ART
386,386,F_RF_CESAR
387,387,F_RF_NCESAR
388,388,F_MD_PRESENT
389,389,F_MD_ROUTE
390,390,F_MD_TRIAL
391,391,F_MM_RUPTUR
392,392,F_MM_ICU
403,403,F_MPCB
404,404,F_CMBGST
405,405,F_CIGS_0
406,406,F_CIGS_1
407,407,F_CIGS_2
408,408,F_CIGS_3
409,409,F_FACILITY
410,410,DelMethRecF
424,424,F_MORIGIN
425,425,F_MRACE_R
426,426,F_FAGE_u
427,427,F_DLLB_MM
429,429,F_DLMP_MM
431,431,F_DLMP_YY
432,432,F_MAGE
433,433,F_ATTENDANT
435,435,F_ESTOFD
436,436,F_AUTOPSY
437,437,F_HISTOPF
438,438,F_AUTOPF
439,439,F_MRACEREC
440,440,F_PLBL
441,441,F_PLBD
442,442,F_DBWT
445,445,F_BMI
2603,2607,IICOD
2643,2645,IC_124_Fetal
2651,2651,F_ICOD
