"","Zi","Yi","Di"
"1",26,6,1
"2",25,4,1
"3",26,23,1
"4",28,22,1
"5",28,24,1
"6",25,23,1
"7",25,24,1
"8",28,23,1
"9",28,24,1
"10",26,25,1
"11",25,24,1
"12",25,25,1
"13",24,24,1
"14",24,22,1
"15",23,21,1
"16",27,22,1
"17",26,22,1
"18",27,22,1
"19",28,22,1
"20",28,23,1
"21",28,22,1
"22",27,23,1
"23",22,22,1
"24",27,22,1
"25",27,23,1
"26",28,17,1
"27",27,17,1
"28",24,17,1
"29",23,22,1
"30",25,13,1
"31",27,10,1
"32",24,9,1
"33",24,24,1
"34",28,24,1
"35",25,25,1
"36",23,23,1
"37",25,24,1
"38",28,22,1
"39",24,22,1
"40",28,23,1
"41",28,23,1
"42",28,24,1
"43",24,22,1
"44",28,24,1
"45",27,21,1
"46",24,20,1
"47",23,23,1
"48",28,24,1
"49",28,24,1
"50",27,21,1
"51",26,22,1
"52",23,21,1
"53",28,22,1
"54",24,22,1
"55",22,22,1
"56",28,22,1
"57",26,22,1
"58",28,23,1
"59",27,20,1
"60",27,22,1
"61",28,20,1
"62",27,18,1
"63",22,17,1
"64",27,17,1
"65",25,24,1
"66",25,24,1
"67",28,24,1
"68",28,23,1
"69",23,23,1
"70",28,24,1
"71",28,24,1
"72",23,23,1
"73",28,24,1
"74",25,23,1
"75",28,23,1
"76",28,23,1
"77",28,24,1
"78",26,24,1
"79",28,24,1
"80",23,23,1
"81",27,23,1
"82",24,22,1
"83",28,24,1
"84",26,20,1
"85",28,19,1
"86",27,24,1
"87",24,13,1
"88",28,22,1
"89",28,17,1
"90",28,16,1
"91",27,7,1
"92",26,24,1
"93",24,24,1
"94",25,24,1
"95",24,23,1
"96",23,23,1
"97",23,23,1
"98",27,24,1
"99",27,24,1
"100",24,24,1
"101",28,24,1
"102",28,22,1
"103",23,22,1
"104",28,22,1
"105",28,22,1
"106",27,22,1
"107",27,23,1
"108",28,22,1
"109",23,23,1
"110",24,23,1
"111",27,23,1
"112",24,20,1
"113",22,21,1
"114",23,21,1
"115",26,22,1
"116",23,21,1
"117",24,21,1
"118",23,17,1
"119",27,17,1
"120",28,15,1
"121",28,5,1
"122",28,24,1
"123",25,25,1
"124",24,23,1
"125",27,23,1
"126",24,21,1
"127",28,20,1
"128",25,21,1
"129",27,20,1
"130",26,20,1
"131",25,16,1
"132",22,15,1
"133",22,14,1
"134",28,9,1
"135",28,24,1
"136",28,24,1
"137",24,24,1
"138",27,23,1
"139",28,23,1
"140",27,24,1
